artist1.x,artist,track,url,artist1.y,birth,death
Joseph Haydn,Joseph Haydn (1732-1809),"Cello Concerto No. 1 in C Major, Hob.VIIb:1: III. Allegro molto",https://open.spotify.com/track/6vmdTXLsimRBhXioUcWP10,Joseph Haydn,1732,1809
Joan Ambrosio Dalza,Joan Ambrosio Dalza (1508-1508),"Intabolatura de lauto, Book 4: Calata ala spagnola",https://open.spotify.com/track/2AUmB3hu5fHgbWlAIknr7A,Joan Ambrosio Dalza,1508,1508
Michael Praetorius,Michael Praetorius (1571-1621),In natali Domini (a 4),https://open.spotify.com/track/01fUQw2SbInzHngudV4GCy,Michael Praetorius,1571,1621
Johann Pachelbel,Johann Pachelbel (1653-1706),Allein Gott in der Hoh sei Ehr,https://open.spotify.com/track/5pFBBxXnB8Rm5Dmgl3tPYo,Johann Pachelbel,1653,1706
Franz Schubert,Franz Schubert (1797-1828),"String Quartet No. 10 in E Flat Major, D. 87: III. Adagio",https://open.spotify.com/track/68yYNLM0fQY3G2WkPOVCqs,Franz Schubert,1797,1828
Paschal de l'Estocart,Paschal de l'Estocart (1538-1587),Veu que du tout (Ps. 11),https://open.spotify.com/track/3CzysLAiHbqfuVFzSLscLQ,Paschal de l'Estocart,1538,1587
Francisco de Peñalosa,Francisco de Peñalosa (1470-1528),Missa Nunca Fue Pena Major: V. Agnus Dei,https://open.spotify.com/track/2d4jajdBMxlAWXQ7TUjBXd,Francisco de Peñalosa,1470,1528
Ludwig van Beethoven,Ludwig van Beethoven (1770-1827),"String Quartet No. 13 in B-Flat Major, Op. 130: II. Presto",https://open.spotify.com/track/2ZjhhB3kZP6Zufmjuv2TWC,Ludwig van Beethoven,1770,1827
Niccolò Paganini,Niccolò Paganini (1782-1840),"Paganini: 24 Caprices, Op. 1: No. 24 in A Minor",https://open.spotify.com/track/6cC6h5E351deEGFd7Kh9uy,Niccolò Paganini,1782,1840
Niccolò Paganini,Niccolò Paganini (1782-1840),"Paganini: 24 Caprices, Op. 1: No. 2 in B Minor",https://open.spotify.com/track/6NiKl1DJJUj7aJut1JbElY,Niccolò Paganini,1782,1840
Frédéric Chopin,Frédéric Chopin (1810-1849),"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.",https://open.spotify.com/track/2MSgFefjK0T7Iwjvr3OKqV,Frédéric Chopin,1810,1849
Anton Bruckner,Anton Bruckner (1824-1896),"Symphony No. 8 in C Minor, WAB 108: IV. Finale. Feierlich, nicht schnell (Ed. R. Haas from 1887 and 1890 versions)",https://open.spotify.com/track/6pG5ExZiqflW7jFrd8KAtb,Anton Bruckner,1824,1896
Léonin,Léonin (1135-1201),Iudea et Iherusalem,https://open.spotify.com/track/26Hrxa5tJpSdUsldpvSa73,Léonin,1135,1201
